song_id,song_name,video_id,author,message,published_at,like_count,language
734953,,sV2H712ldOI,@SAWTOWNE,"✨STREAMING✨
Spotify: https://open.spotify.com/album/6eaUMgU5URwsLllOml5Iwn?si=IKzLkSYWTjCuTi1tvB5gbQ
Apple Music: https://music.apple.com/us/album/confessions-of-a-rotten-girl-single/1791709028",2025-01-21T23:53:50Z,6790,en
734953,,sV2H712ldOI,@STARGAZER_NEW55,"1:38 my hypers3xuality frfr

(Btw I’m Christian so this is so real for me)",2025-06-03T20:10:18Z,0,en
734953,,sV2H712ldOI,@Pjskcrkandforsakenfan,"“KIERAN IS YOUR AVERAGE TEENAGE VAMPIRE, BUT ONE DAY, HE GETS STUCK IN A GROUP PROJECT WITH THE NEW KID MASON, AT FIRST, THEY COULDNT STOP BEEFING WHENEVER THEY LOCKED EYES BUT IN A MATTER OF A FACT THIS, COULD TURN INTO THIS, ARE THEY EMEMIES, LOVERS, OR SOMETHING EVEN MESSIER, FIND OUT NOW ON LOVES BUTES, ONLY ON WEBTOON.”",2025-06-03T20:01:31Z,0,en
734953,,sV2H712ldOI,@Al333.w,"2:24 HIYAMA, MY BOY, GET YOUR 4SS OUT OF THERE 😭😭😭",2025-06-03T16:12:22Z,0,en
734953,,sV2H712ldOI,@MILOAIS14-w7e,Kuy: help!!! My mine oly is in the 😭😭😭😭😭😭😭,2025-06-03T13:58:45Z,0,en
734953,,sV2H712ldOI,@emanuelosmenaj2494,Wtf.??? 2:19,2025-06-03T10:38:07Z,0,en
734953,,sV2H712ldOI,@天野_液体窒素,2:00 ここからのインターネットやめろ(ニディガ)感まじですき,2025-06-03T10:04:42Z,2,ja
734953,,sV2H712ldOI,@ZanabSabeel,Why’d you removed the circles from 2:09,2025-06-03T07:49:53Z,0,en
734953,,sV2H712ldOI,@ChenHaoLim-b4d,"Cool...
Is that a Danganropa reference—",2025-06-03T07:40:28Z,0,en
734953,,sV2H712ldOI,@yourlocalpatientzerosimp,If dj riki sees this prepare your copy right strikes.,2025-06-03T04:39:39Z,0,en
734953,,sV2H712ldOI,@Sagever9640,私も腐女子だから共感(?)する😅,2025-06-03T04:30:14Z,1,ja
734953,,sV2H712ldOI,@cyb3rluv82,There was a yaoi ad under this😅,2025-06-03T04:01:28Z,0,en
734953,,sV2H712ldOI,@xodyssey1xd,"2:57 miku did NOT say ""never""",2025-06-03T02:03:38Z,1,et
734953,,sV2H712ldOI,@OrigamiAhsoka,Of COURSE vane wrote the lyrics,2025-06-02T23:33:51Z,1,en
734953,,sV2H712ldOI,@rickylojamesrazaga7864,Ahhh!! I've had it!! I'm coming out!!! I'll live a sinful life!!!,2025-06-02T22:17:55Z,1,en
734953,,sV2H712ldOI,@ST4R_SH1NE-q5g,"NAH DID REALLY ADD A DANGANROMPA EXECUTION!!?!??
I SWEAR THAT CAUGHT ME OFF GUARD 😭😭😭 
I SWEAR YOU SUMMONED THE FANDOM FROM THE GRAVE 😭😭😭",2025-06-02T20:17:08Z,0,en
734953,,sV2H712ldOI,@QualityTrash12345,I think Beethoven himself would approve of this.,2025-06-02T18:27:04Z,0,en
734953,,sV2H712ldOI,@lordlexington7133,"Come on guys, did we really have to make 2:22 the most rewatched part?",2025-06-02T18:14:03Z,1,en
734953,,sV2H712ldOI,@Lizytaaaaaa,BL fans and I:,2025-06-02T15:59:47Z,0,en
734953,,sV2H712ldOI,@ritacuello9877,🔣🈯️🉐️㊙️🈹️㊗️🈳️🈺️🈚️🈁️🈂️🈲️🈵️🉑️🈸️🈷️🈶️🈴️,2025-06-02T15:41:40Z,0,unknown
734953,,sV2H712ldOI,@toadstooldarling9937,0:59 cant tell if its a jojo reference or not,2025-06-02T14:29:16Z,1,en
734953,,sV2H712ldOI,@septemberguidry395,And my mind goes…and my mind goes- AhahHhhUhhGggGghGgHh = 1:54,2025-06-02T14:07:42Z,2,en
734953,,sV2H712ldOI,@xavibun,This song calls me out on a personal level,2025-06-02T13:51:15Z,0,en
734953,,sV2H712ldOI,@rayan-games-2011,didn't know miku was a gooner,2025-06-02T13:48:19Z,0,so
734953,,sV2H712ldOI,@rhayanelima3722,الموسيقى جيدة يا أخي، إنها جيدة جدًا 👍 xD,2025-06-02T12:18:20Z,1,ar
734953,,sV2H712ldOI,@DaveTimothy-s2w,Bro why at 01:44 there is an danganronpa's execution??,2025-06-02T10:43:39Z,1,en
734953,,sV2H712ldOI,@Cutie_official15454,I 3,2025-06-02T09:06:25Z,0,it
734953,,sV2H712ldOI,@SeekEye1438,Felt like I’m in a acid trip,2025-06-02T07:57:13Z,1,en
734953,,sV2H712ldOI,@priyansheegohil,Why does it sound like betthoven virus meme💀💀💀💀,2025-06-02T06:28:25Z,0,af
734953,,sV2H712ldOI,@АлександрСтарцев-я9х,🇷🇺🤝🇺🇸,2025-06-02T05:31:00Z,0,unknown
734953,,sV2H712ldOI,@therealspeedwagon1451,And that’s why I’m an atheist,2025-06-02T04:43:04Z,1,en
734953,,sV2H712ldOI,@UniverseOfStarz,"Sry can u repeat.. the entire thing, i was sinning 😔",2025-06-02T03:48:05Z,1,en
734953,,sV2H712ldOI,@ted_is_gaming,ANTINOMIAN PROPAGANDA! REPENT AND LET YOUR FAITH BEAR GOOD WORKS! ✝️,2025-06-02T02:50:03Z,0,de
734953,,sV2H712ldOI,@X4nd3rrules,I fucking love the hair.,2025-06-02T00:03:43Z,1,en
734953,,sV2H712ldOI,@Midoriya_izuku_deku0,1:39 Danganronpa,2025-06-01T23:05:16Z,1,tl
734953,,sV2H712ldOI,@Rattatoullie,"Blud is like
""I'm a fujoshi!? idk what should i do? following the path? or stop and turn back?""",2025-06-01T23:03:30Z,2,en
734953,,sV2H712ldOI,@FreakyFriday-c8m,Why is the color pallet shifting like they fighting an enemy stand user😭😭😭😭,2025-06-01T21:19:00Z,4,en
734953,,sV2H712ldOI,@The_Holy_Grail_Of_All_Rats,I relate way too much except I'm not a girl,2025-06-01T21:11:12Z,2,en
734953,,sV2H712ldOI,@Scyfidel,2:00 my favorite part,2025-06-01T20:04:39Z,0,it
734953,,sV2H712ldOI,@stingster_stings,litterally me with cai </3,2025-06-01T19:20:12Z,1,en
734953,,sV2H712ldOI,@そうた-s9y,腐女子とかBLの文化って日本独自かと思ってたけど世界共通なんだな,2025-06-01T18:45:21Z,3,ja
734953,,sV2H712ldOI,@nc234,The danganronpa references 🗣🗣🗣🗣🗣🔥🔥🔥🔥🔥,2025-06-01T16:36:01Z,0,en
734953,,sV2H712ldOI,@kakkaohjus,I find it kinda weird that no VTuber has a cover of this song.,2025-06-01T16:07:07Z,0,en
734953,,sV2H712ldOI,@Shadow-milk-cook13638,2:36 best part,2025-06-01T14:54:59Z,1,fr
734953,,sV2H712ldOI,@NathalyaRios,(Só para brasileiros) a tradução foi a melhor kkkkk,2025-06-01T13:51:07Z,1,pt
734953,,sV2H712ldOI,@briannarice7396,Someone make a fnf mod with this song,2025-06-01T10:01:46Z,0,en
734953,,sV2H712ldOI,@rainbowArsonal,something about the for my god has other plans i just love the way miku sings it,2025-06-01T08:10:41Z,0,en
734953,,sV2H712ldOI,@WingzoftheWord-sx7gs,The Lord was never angry at that type of girl he loves her she might be sinful but he offers help if she asked,2025-06-01T07:39:00Z,0,en
734953,,sV2H712ldOI,@bearbear3133,"This is the Universal Requiem of fujoshi & fudanshi, or any kind of connoisseurs of BL fiction. Stay strong comrades...",2025-06-01T06:12:50Z,1,en
734953,,sV2H712ldOI,@nevermindblue,A beautiful miku song.. about gooning???,2025-06-01T02:14:51Z,3,tl
734953,,sV2H712ldOI,@iced-f8f,I LOVE THIS AND THE ANIMARTIONS SM,2025-06-01T01:55:05Z,0,en
